source,target,value
news,MSFT,244967
news,MSFT,244968
news,MSFT,244969
news,MSFT,244970
news,MSFT,244971
news,MSFT,244977
news,MSFT,244988
news,MSFT,245009
news,MSFT,245010
news,MSFT,245011
news,MSFT,245012
news,MSFT,245013
news,MSFT,245014
news,MSFT,245015
news,MSFT,245071
news,MSFT,245072
news,MSFT,245121
news,MSFT,245122
news,MSFT,245128
news,MSFT,245129
news,MSFT,245130
news,MSFT,245131
news,MSFT,245143
news,MSFT,245155
news,MSFT,245173
news,MSFT,245174
news,MSFT,245175
news,MSFT,245176
news,MSFT,245177
news,MSFT,245178
news,MSFT,245179
news,MSFT,245230
news,MSFT,245264
news,MSFT,245297
news,MSFT,245298
news,MSFT,245299
news,MSFT,245300
news,MSFT,245301
news,MSFT,245302
news,MSFT,245303
news,MSFT,245304
news,MSFT,245322
news,MSFT,245337
news,MSFT,245341
news,MSFT,245342
news,MSFT,245343
news,MSFT,245344
news,MSFT,245345
news,MSFT,245347
news,MSFT,245348
news,MSFT,245349
news,MSFT,245350
news,MSFT,245383
news,MSFT,245384
news,MSFT,245385
news,MSFT,245386
news,MSFT,245387
news,MSFT,245388
news,MSFT,245389
news,MSFT,245390
news,MSFT,245436
news,MSFT,245437
news,MSFT,245467
news,MSFT,245468
news,MSFT,245469
news,MSFT,245470
news,MSFT,245506
news,MSFT,245507
news,MSFT,245508
news,MSFT,245509
news,MSFT,245510
news,MSFT,245511
news,MSFT,245512
news,MSFT,245513
news,MSFT,245514
news,MSFT,245516
news,MSFT,245541
news,MSFT,245555
news,MSFT,245569
news,MSFT,245583
news,MSFT,245584
news,MSFT,245585
news,MSFT,245586
news,MSFT,245587
news,MSFT,245588
news,MSFT,245591
news,MSFT,245592
news,MSFT,245593
news,MSFT,245594
news,MSFT,245595
news,MSFT,245596
news,MSFT,245597
news,MSFT,245598
news,MSFT,245609
news,MSFT,245610
news,MSFT,245670
news,MSFT,245689
news,MSFT,245690
news,MSFT,245691
news,MSFT,245692
news,MSFT,245693
news,MSFT,245694
news,MSFT,245695
news,MSFT,245711
news,MSFT,245721
news,MSFT,245724
news,MSFT,245725
news,MSFT,245726
news,MSFT,245727
news,MSFT,245728
news,MSFT,245730
news,MSFT,245731
news,MSFT,245732
news,MSFT,245817
news,MSFT,245825
news,MSFT,245826
news,MSFT,245827
news,MSFT,245828
news,MSFT,245829
news,MSFT,245837
news,MSFT,245858
news,MSFT,245859
news,MSFT,245860
news,MSFT,245861
news,MSFT,245862
news,MSFT,245863
news,MSFT,245864
news,MSFT,245865
news,MSFT,245870
news,MSFT,245925
news,MSFT,245926
news,MSFT,245978
news,MSFT,245979
news,MSFT,245980
news,MSFT,245981
news,MSFT,245982
news,MSFT,245983
news,MSFT,245984
news,MSFT,245998
news,MSFT,246025
news,MSFT,246026
news,MSFT,246027
news,MSFT,246028
news,MSFT,246029
news,MSFT,246030
news,MSFT,246031
news,MSFT,246056
news,MSFT,246068
news,MSFT,246077
news,MSFT,246079
news,MSFT,246097
news,MSFT,246098
news,MSFT,246099
news,MSFT,246151
news,MSFT,246168
news,MSFT,246169
news,MSFT,246170
news,MSFT,246171
news,MSFT,246172
news,MSFT,246191
news,MSFT,246197
news,MSFT,246198
